Date,Guest,Primetime,Tucker
October 1 2020 Thursday,Robert Woodson;Ned Ryun;Daniel Cameron;Tyler Hollinger;Allum Bokhari,1,1
August 7 2020 Friday,Tom Bevan;Stephen Smith; Zach Terwilliger;Zach Terwilliger;Scott Lobaido,1,0
February 20 2020 Thursday,Susan Page,0,0
February 20 2020 Thursday,Robert George;Jeff Mason;Tezlyn Figaro;Jason Rantz;Tom Steyer;Jim Bridenstine,1,0
February 18 2020 Tuesday,Danielle Hughes;Janette Nesheiwat;John Kennedy;Kevin Chavous;Holly Turner;Philip Wegmann;,0,0
January 27 2020 Monday,Debbie Lesko;Jason Nichols;Derek Dieter;Steve Drazkowski,1,1
October 28 2020 Wednesday,,0,0
September 25 2020 Friday,,0,0
December 1 2020 Tuesday,Brad Parscale;Richard Besser,0,0
May 7 2020 Thursday,,0,0
April 15 2020 Wednesday,Tom Cotton;Kevin McCarthy;Pam Bondi;Devin Nunes;Matt Gaetz;Dennis Miller,1,0
July 31 2020 Friday,Rep. Brian Mast,0,0
November 17 2020 Tuesday,Burgess Owens,0,0
February 16 2020 Sunday,Burton Folsom,1,0
October 23 2020 Friday,Harry Litman,0,0
December 7 2020 Monday,Angela Marsden;Dave Foldes;Victor Davis Hanson;Laila Mickelwait,1,0
July 16 2020 Thursday,Juan Desmarais;Arthur Hodges;Dax Holt;Lou Holtz;Seth Barron;Horace Cooper,1,1
June 3 2020 Wednesday,Kelly Kandah;Mike Martucci,0,0
December 3 2020 Thursday,Daniel Cameron;Bill Cassidy;Asa Hutchinson,0,0
December 9 2020 Wednesday,Kathryn Rooney Vera;Chris Hopson;Mike Braun,0,0
February 11 2020 Tuesday,,1,0
February 12 2020 Wednesday,,0,0
December 30 2020 Wednesday,David Avella;Marc Lotter;Michael deBoisblanc;Andreas Koutsoudakis;Sal Scognamillo;Adam Guillette;,1,0
October 1 2020 Thursday,Herschel Walker;Sen. Ted Cruz;Richard Goodstein;Peter King;Carter Snead,0,0
January 18 2020 Saturday,Eric Trump;Gina Loudon;Herman Cain;Joe Concha,1,0
May 22 2020 Friday,Jay Roman,0,0
December 23 2020 Wednesday,Heather Mac Donald;Roger Stone;Mark Steyn;Stefan Mychajliw;Kirk Cameron,1,1
April 28 2020 Tuesday,Marc Scaringi;John Yoo;Dan Erickson;Avik Roy;Carrie Severino;Luke Bernstein,1,0
September 29 2020 Tuesday,Kevin Brady; Byron York;James Trusty;Kristen Hawn;Inez Stepman,0,0
December 19 2020 Saturday,Andy Biggs;Jim Banks;Katrina Pierson;Andrew Gruel,1,0
March 19 2020 Thursday,William Grace;Michael Orlov;Amity Shlaes;Steve Moore;Amity Shlaes;Mike Shellenberger;Elias ,1,0
November 18 2020 Wednesday,Bill Melugin;Dave Portnoy;Michelle Steel;Mark Steyn;Angela Greene;Victor Davis Hanson,1,1
August 11 2020 Tuesday,Leo Terrell;Larry Elder;John Kennedy;Donald Trump,1,0
February 28 2020 Friday,Syra Madad;Tulsi Gabbard;Justin Haskins;Debra Tice;Johnny Burtka,1,1
December 15 2020 Tuesday,Gordon Chang;Lindsey Graham;Phil Kerpen;Alex Berenson;Phil Kerpen;Don Barnes;Samuel Dordulian,1,0
July 15 2020 Wednesday,,0,0
December 29 2020 Tuesday,Danny Coulson;Tom Dupree;Chris Dussin;Marjorie Clifton;Patrice Lee Onwuka;Grover Norquist,0,0
June 9 2020 Tuesday,Shelby Steele;Michael O'Meara;Ben Watson,0,0
January 1 2020 Wednesday,,0,0
August 8 2020 Saturday,Terry Schappert;Joe DeVito,1,0
September 13 2020 Sunday,Candace Owens;Michael Anton,1,0
April 12 2020 Sunday,Jason Pettus;Donald Ehrke;David Bodden;Rick Warren,0,0
February 7 2020 Friday,Tezlyn Figaro;Marc Lotter;Guy Benson;Mike Dunleavy;Bob Bianchi;Alex Swoyer,1,0
December 18 2020 Friday,,0,0
June 25 2020 Thursday,Charles Hurt;Jason Riley;Mara Liasson;Mick Mulvaney;Stephanie Rawlings-Blake,0,0
February 25 2020 Tuesday,Janette Nesheiwat;Newt Gingrich;Gordon Chang;Chris Hahn;Frank Luntz;Ramin Oskoui;Horace ,1,0
December 1 2020 Tuesday,Mark McClellan;Anita Gupta;Ali Mokdad;Luiza Petre;Michael Leavitt;Steven Mulroy;Tom Dupree;,0,0
November 19 2020 Thursday,John Pavia;Michelle Steel,1,0
November 26 2020 Thursday,Victor Davis Hanson;Alex Berenson,1,1
November 13 2020 Friday,Mark Steyn;Jason Whitlock;Jason Rantz;Tyler Hollinger;Aaron Mate,1,1
June 12 2020 Friday,Chris Christie;Phil Kerpen,1,0
November 17 2020 Tuesday,,0,0
July 31 2020 Friday,Chad Wolf,0,0
July 6 2020 Monday,Chad Wolf,0,0
June 1 2020 Monday,Darrin Porcher;Jim Coll;Chris Swecker;Jim Hanson;Dinesh D'Souza;Gabriel Nadales;Niger Innis;,1,0
June 23 2020 Tuesday,Bernie Kerik;Mark Cuban;Larry Elder;Leo Terrell,1,0
May 28 2020 Thursday,Matt Gaetz;Brad Hunstable;Glenn Greenwald;Kendall Qualls,1,1
July 17 2020 Friday,Jason Rantz;Jason Hill;Mike Ends;Justin Haskins;Jason Nichols,1,1
June 30 2020 Tuesday,Eric Trump;Lindsey Graham;Kristi Noem;Mark Cuban,1,0
March 1 2020 Sunday,Charlie Kirk,1,0
June 11 2020 Thursday,Jason Rantz;Michael Solan;Erin Marie Olszewski;Sumantra Maitra,1,1
August 27 2020 Thursday,Keith Kellogg;Brit Hume;Byron York;Mollie Hemingway;Charles Lane,0,0
August 14 2020 Friday,Bernard Kerik;John Kass;Robert O'Brien;Treyjohn Butler;Rashad Weaver,0,0
July 24 2020 Friday,Robert Woodson;David Fravor;Robby Soave;Jason Whitlock;Matthew Lysiak,1,1
July 30 2020 Thursday,Leo Terrell;Larry Elder;Raymond Lopez;Kevin McCarthy;Sidney Powell;Mark McCloskey,1,0
March 4 2020 Wednesday,Bill McGurn;Harold Ford Jr.,0,0
